timestamp_s,node_state,sampling_interval_s,transmission_interval_s,current_load_A,voltage_bus_V,power_load_W
110.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
111.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
112.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
113.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
114.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
115.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
116.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
117.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
118.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
119.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
120.0,LORA_TX,30.0,120.0,0.12,3.6,0.432
121.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
122.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
123.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
124.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
125.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
126.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
127.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
128.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
129.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
130.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
131.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
132.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
133.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
134.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
135.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
136.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
137.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
138.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
139.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
140.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
141.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
142.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
143.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
144.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
145.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
146.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
147.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
148.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
149.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
150.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
151.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
152.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
153.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
154.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
155.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
156.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
157.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
158.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
159.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
160.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
161.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
162.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
163.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
164.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
165.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
166.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
167.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
168.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
169.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
170.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
171.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
172.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
173.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
174.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
175.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
176.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
177.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
178.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
179.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
180.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
181.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
182.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
