timestamp_s,node_state,sampling_interval_s,transmission_interval_s,current_load_A,voltage_bus_V,power_load_W,battery_soc,battery_ocv_V,battery_terminal_voltage_V,battery_current_A,battery_power_W,energy_used_Wh,energy_remaining_Wh,cutoff_reached
205.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999696000000095,4.199878400000038,4.199878130000038,1.5e-05,6.299817195000058e-05,0.0002552792927702977,7.21298070549403,False
206.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999695979166762,4.199878391666704,4.199878121666704,1.5e-05,6.299817182500057e-05,0.0002552967922624713,7.212980690466531,False
207.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999695958333429,4.199878383333372,4.199878113333372,1.5e-05,6.299817170000058e-05,0.0002553142917546102,7.212980675439031,False
208.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999695937500096,4.199878375000038,4.199878105000038,1.5e-05,6.299817157500057e-05,0.00025533179124671433,7.212980660411532,False
209.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999695916666763,4.199878366666706,4.199878096666706,1.5e-05,6.299817145000058e-05,0.0002553492907387838,7.2129806453840315,False
210.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003,0.9999684805555652,4.199873922222261,4.199729922222262,0.008,0.0335978393777781,0.0002646820238992777,7.21297263071738,False
211.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003,0.9999673694444541,4.199869477777817,4.199725477777817,0.008,0.033597803822222536,0.0002740147471832284,7.212964616050728,False
212.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673673611208,4.199869469444483,4.199869199444483,1.5e-05,6.299803799166725e-05,0.0002740322466382261,7.212964601023228,False
213.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673652777875,4.199869461111151,4.1998691911111505,1.5e-05,6.299803786666726e-05,0.0002740497460931891,7.212964585995729,False
214.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673631944542,4.199869452777817,4.1998691827778165,1.5e-05,6.299803774166725e-05,0.00027406724554811734,7.212964570968229,False
215.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999967361111121,4.199869444444484,4.199869174444484,1.5e-05,6.299803761666726e-05,0.00027408474500301085,7.212964555940729,False
216.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673590277877,4.19986943611115,4.19986916611115,1.5e-05,6.299803749166725e-05,0.00027410224445786966,7.21296454091323,False
217.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673569444544,4.199869427777818,4.199869157777818,1.5e-05,6.299803736666728e-05,0.00027411974391269373,7.21296452588573,False
218.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673548611211,4.199869419444484,4.199869149444484,1.5e-05,6.299803724166727e-05,0.0002741372433674831,7.212964510858231,False
219.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673527777878,4.199869411111152,4.199869141111152,1.5e-05,6.299803711666728e-05,0.0002741547428222377,7.212964495830731,False
220.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673506944545,4.199869402777818,4.199869132777818,1.5e-05,6.299803699166727e-05,0.00027417224227695765,7.212964480803231,False
221.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673486111212,4.199869394444486,4.1998691244444855,1.5e-05,6.299803686666728e-05,0.00027418974173164284,7.212964465775732,False
222.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999967346527788,4.199869386111152,4.199869116111151,1.5e-05,6.299803674166727e-05,0.0002742072411862933,7.212964450748232,False
223.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673444444547,4.199869377777819,4.199869107777819,1.5e-05,6.29980366166673e-05,0.00027422474064090906,7.212964435720733,False
224.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673423611214,4.199869369444485,4.199869099444485,1.5e-05,6.299803649166728e-05,0.0002742422400954901,7.212964420693233,False
225.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673402777881,4.199869361111153,4.199869091111153,1.5e-05,6.29980363666673e-05,0.0002742597395500364,7.212964405665733,False
226.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673381944548,4.199869352777819,4.199869082777819,1.5e-05,6.299803624166728e-05,0.000274277239004548,7.212964390638233,False
227.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673361111215,4.199869344444487,4.199869074444487,1.5e-05,6.29980361166673e-05,0.00027429473845902485,7.212964375610734,False
228.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673340277883,4.199869336111153,4.199869066111153,1.5e-05,6.29980359916673e-05,0.000274312237913467,7.212964360583235,False
229.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999967331944455,4.1998693277778205,4.19986905777782,1.5e-05,6.299803586666731e-05,0.0002743297373678744,7.212964345555735,False
230.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673298611217,4.1998693194444865,4.199869049444486,1.5e-05,6.29980357416673e-05,0.00027434723682224707,7.212964330528235,False
231.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673277777884,4.199869311111154,4.199869041111154,1.5e-05,6.299803561666731e-05,0.00027436473627658503,7.212964315500735,False
232.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673256944551,4.19986930277782,4.19986903277782,1.5e-05,6.29980354916673e-05,0.00027438223573088825,7.212964300473236,False
233.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673236111218,4.199869294444488,4.199869024444488,1.5e-05,6.299803536666731e-05,0.00027439973518515677,7.212964285445737,False
234.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673215277886,4.199869286111154,4.199869016111154,1.5e-05,6.299803524166731e-05,0.00027441723463939054,7.212964270418237,False
235.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673194444553,4.199869277777822,4.199869007777822,1.5e-05,6.299803511666733e-05,0.0002744347340935896,7.212964255390737,False
236.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999967317361122,4.199869269444488,4.1998689994444875,1.5e-05,6.299803499166731e-05,0.00027445223354775395,7.212964240363237,False
237.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673152777887,4.199869261111155,4.199868991111155,1.5e-05,6.299803486666733e-05,0.0002744697330018836,7.212964225335738,False
238.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673131944554,4.199869252777821,4.199868982777821,1.5e-05,6.299803474166732e-05,0.0002744872324559785,7.212964210308238,False
239.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999673111111221,4.199869244444489,4.199868974444489,1.5e-05,6.299803461666734e-05,0.00027450473191003867,7.212964195280739,False
240.0,LORA_TX,30.0,120.0,0.12,3.6,0.432,0.9999506444444555,4.199802577777822,4.197642577777822,0.12,0.5037171093333387,0.0004144261511692994,7.212843975280959,False
241.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003,0.9999495333333444,4.199798133333378,4.199654133333378,0.008,0.03359723306666702,0.0004237587159100402,7.212835960614307,False
